English words of 7 characters or more in the first 100000 elements of the base 26 Fibonacci sequence:

3763: islamic
6225: letting
10989: leasing
14872: harvest
23228: textile
25311: seeking
25751: damaged
26301: bouquet
27791: already
28529: budgets
30174: highest
32119: examine
35284: optimum
35802: austria
36279: patrick
36915: respect
37668: cooking
37908: mysimon
38823: demands
39879: packard
40613: voltage
40677: grounds
41419: arrival
43420: coupons
43688: passage
44028: crystal
44275: drivers
45249: harvard
45527: oakland
45665: intended
46203: missing
48015: turkish
48137: belarus
48293: douglas
49767: proceed
52326: package
53330: handles
55311: enables
55538: starter
56484: expired
56979: pokemon
57178: arising
57577: tunisia
57957: patents
59630: modules
59992: lasting
60456: between
62336: intense
63994: payment
64141: rolling
64144: elected
65306: altered
65621: shelter
65904: country
67351: exhaust
68372: refresh
68424: deserve
68715: washing
68733: section
69006: memphis
69030: bennett
69234: chinese
69830: program
69934: caution
70706: montana
71106: interim
71112: coleman
71507: cuisine
72652: private
73214: western
74051: trigger
74365: brokers
74725: veteran
74860: airline
75163: burning
76285: scratch
77459: creates
77691: biggest
78501: reprint
78880: managed
79029: dispute
79792: settled
79999: formats
80912: columns
81472: council
81717: backing
82547: default
82558: publish
82638: apparel
82918: heading
83082: permits
83540: printed
83560: affected
83724: soonest
83808: reunion
84695: arrival
84752: skating
85492: locator
86140: tractor
86534: largely
86920: brandon
86945: proudly
87327: carries
87637: replica
87756: modular
88719: griffin
89338: serving
89601: warrant
91325: dresses
91456: embassy
92514: weapons
92567: january
92618: indexes
94115: changed
94120: bachelor
94301: prairie
94590: lodging
94720: counted
95006: details
95056: optimum
95115: rebates
95929: cumshot
96670: refined
96814: nervous
97967: visited
98216: editing
99462: airport
